pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_teff,st_mass,st_rad,sy_dist,sy_gaiamag,ra,dec
Kepler-779 b,Kepler-779,1,Transit,2016.0,Space,Kepler,7.09714223,0.0533,0.92,0.0820769,0.721,0.00227,0.0,3804.0,0.46,0.44,283.155,15.6335,285.6285208,44.3107855
Kepler-78 b,Kepler-78,1,Transit,2013.0,Space,Kepler,0.35500745,0.00901,1.201,0.10714623,1.68,0.00528587,0.0,5058.0,0.779,0.7475,124.376,11.5287,293.7419543,44.4482521
Kepler-780 b,Kepler-780,1,Transit,2016.0,Space,Kepler,0.677375164,0.015,0.89,0.07940048,0.64,0.00201,0.0,5769.0,1.01,1.02,557.652,13.3393,281.7663511,44.2924898
Kepler-781 b,Kepler-781,1,Transit,2016.0,Space,Kepler,13.2140732,0.1019,2.89,0.25782853,8.7,0.0274,0.0,5162.0,0.81,0.78,1064.47,15.9511,287.6535874,47.4147762
Kepler-782 b,Kepler-782,1,Transit,2016.0,Space,Kepler,158.6853308,0.54494,3.21,0.28637702,10.4,0.0327,0.0,5867.0,0.98,1.01,446.844,12.7304,288.868246,47.75947
Kepler-783 b,Kepler-783,2,Transit,2016.0,Space,Kepler,4.29264638,0.04958,0.78,0.06958694,0.399,0.00126,0.0,5521.0,0.93,0.89,516.09,13.9378,291.0628615,47.484789
Kepler-783 c,Kepler-783,2,Transit,2020.0,Space,Kepler,7.05395,0.06903,2.33153725,0.20800582,6.04,0.019,0.0,5411.49,0.94,0.872088,516.09,13.9378,291.0628615,47.484789
Kepler-784 b,Kepler-784,2,Transit,2016.0,Space,Kepler,31.5922646,0.22111,1.58,0.14095816,3.12,0.00982,0.0,5674.0,1.0,1.32,1303.72,13.2634,295.9206663,47.4486164
Kepler-784 c,Kepler-784,2,Transit,2023.0,Space,Kepler,17.157236,0.1309,1.55,0.13828198,3.02,0.00951,0.0,5676.0,1.016,1.487,1303.72,13.2634,295.9206663,47.4486164
Kepler-785 b,Kepler-785,1,Transit,2016.0,Space,Kepler,1.973760926,0.025,13.02,1.1615666,,,0.0,4739.0,0.77,0.71,642.051,15.7615,292.0683108,38.8422004
Kepler-786 b,Kepler-786,1,Transit,2016.0,Space,Kepler,53.5293487,0.25483,2.43,0.21679008,6.48,0.0204,0.0,4838.0,0.81,0.74,485.318,14.9463,293.7439223,38.9392217
Kepler-787 b,Kepler-787,1,Transit,2016.0,Space,Kepler,0.928310498,0.0159,1.28,0.11419395,2.18,0.00687,0.0,4248.0,0.65,0.62,503.568,15.8612,291.6924773,38.5729105
Kepler-788 b,Kepler-788,1,Transit,2016.0,Space,Kepler,8.39846269,0.0835,2.55,0.22749576,7.04,0.0221,0.0,6159.0,1.16,1.23,1775.8,15.2595,290.0004154,38.5398551
Kepler-789 b,Kepler-789,1,Transit,2016.0,Space,Kepler,8.63847725,0.0951,2.12,0.18913373,5.14,0.0162,0.0,5870.0,1.01,1.02,1480.16,14.5085,295.9751549,38.9466396
Kepler-79 b,Kepler-79,4,Transit,2012.0,Space,Kepler,13.4845,0.117,3.47,0.31,10.9,0.0343,0.015,6174.0,1.165,1.302,1020.72,13.8825,300.5171067,44.3815508
Kepler-79 c,Kepler-79,4,Transit,2012.0,Space,Kepler,27.4029,0.187,3.72,0.332,5.9,0.019,0.03,6174.0,1.165,1.302,1020.72,13.8825,300.5171067,44.3815508
Kepler-79 d,Kepler-79,4,Transit,2014.0,Space,Kepler,52.0902,0.287,7.16,0.639,6.0,0.019,0.025,6174.0,1.165,1.302,1020.72,13.8825,300.5171067,44.3815508
Kepler-79 e,Kepler-79,4,Transit,2014.0,Space,Kepler,81.0659,0.386,3.49,0.311,4.1,0.013,0.012,6174.0,1.165,1.302,1020.72,13.8825,300.5171067,44.3815508
